codigo,descricao_oficial,vertical_id,vertical,sub_vertical,sinonimos,tags,secao,divisao,grupo,classe
0139-3/04,"Cultivo de plantas para condimento, exceto pimenta-do-reino",AGRO,Agronegócio,Agricultura e Lavouras,plantas para condimento,Agro,A,01,01.3,01.39-3
0139-3/05,Cultivo de dendê,AGRO,Agronegócio,Agricultura e Lavouras,dendê,Agro,A,01,01.3,01.39-3
0139-3/06,Cultivo de seringueira,AGRO,Agronegócio,Agricultura e Lavouras,seringueira,Agro,A,01,01.3,01.39-3
0139-3/99,Cultivo de outras plantas de lavoura permanente não especificadas anteriormente,AGRO,Agronegócio,Agricultura e Lavouras,outras plantas de lavoura permanente,Agro,A,01,01.3,01.39-3
0141-5/01,"Produção de sementes certificadas, exceto de forrageiras para pasto",AGRO,Agronegócio,Agricultura e Lavouras,sementes certificadas,Agro,A,01,01.4,01.41-5
0141-5/02,Produção de sementes certificadas de forrageiras para formação de pasto,AGRO,Agronegócio,Agricultura e Lavouras,sementes certificadas de forrageiras para formação de pasto,Agro,A,01,01.4,01.41-5
0142-3/00,"Produção de mudas e outras formas de propagação vegetal, certificadas",AGRO,Agronegócio,Agricultura e Lavouras,"mudas e outras formas de propagação vegetal, certificadas",Agro,A,01,01.4,01.42-3
0151-2/01,Criação de bovinos para corte,AGRO,Agronegócio,Agricultura e Lavouras,"bovinos para corte, criação de gado de corte",Agro,A,01,01.5,01.51-2
0151-2/02,Criação de bovinos para leite,AGRO,Agronegócio,Agricultura e Lavouras,"bovinos para leite, leite, gado leiteiro",Agro,A,01,01.5,01.51-2
0151-2/03,"Criação de bovinos, exceto para corte e leite",AGRO,Agronegócio,Agricultura e Lavouras,bovinos,Agro,A,01,01.5,01.51-2
0152-1/01,Criação de bufalinos,AGRO,Agronegócio,Agricultura e Lavouras,"bufalinos, criação de bufalino",Agro,A,01,01.5,01.52-1
0152-1/02,Criação de equinos,AGRO,Agronegócio,Agricultura e Lavouras,equinos,Agro,A,01,01.5,01.52-1
0152-1/03,Criação de asininos e muares,AGRO,Agronegócio,Agricultura e Lavouras,asininos e muares,Agro,A,01,01.5,01.52-1
0153-9/01,Criação de caprinos,AGRO,Agronegócio,Agricultura e Lavouras,"caprinos, ovino, criação de ovelha",Agro,A,01,01.5,01.53-9
0153-9/02,"Criação de ovinos, inclusive para produção de lã",AGRO,Agronegócio,Agricultura e Lavouras,"ovinos, inclusive para produção de lã",Agro,A,01,01.5,01.53-9
0154-7/00,Criação de suínos,AGRO,Agronegócio,Agricultura e Lavouras,"suínos, suíno, criação de porco, suinocultura",Agro,A,01,01.5,01.54-7
0155-5/01,Criação de frangos para corte,AGRO,Agronegócio,Agricultura e Lavouras,"frangos para corte, frango, avicultura de corte",Agro,A,01,01.5,01.55-5
0155-5/02,Produção de pintos de um dia,AGRO,Agronegócio,Agricultura e Lavouras,"pintos de um dia, ovo, postura, granja de ovos",Agro,A,01,01.5,01.55-5
0155-5/03,"Criação de outros galináceos, exceto para corte",AGRO,Agronegócio,Agricultura e Lavouras,outros galináceos,Agro,A,01,01.5,01.55-5
