Mapeamento Completo — 1.331 subclasses CNAE 2.3;;;;
;;;;
Subclasse CNAE;Descrição Oficial;Vertical;;
2229-3/99;Fabricação de artefatos de material plástico para outros usos não especificados anteriormente;Indústria e Manufatura;;
2311-7/00;Fabricação de vidro plano e de segurança;Construção e Reforma;;
2312-5/00;Fabricação de embalagens de vidro;Construção e Reforma;;
2319-2/00;Fabricação de artigos de vidro;Construção e Reforma;;
2320-6/00;Fabricação de cimento;Construção e Reforma;;
2330-3/01;Fabricação de estruturas pré-moldadas de concreto armado, em série e sob encomenda;Construção e Reforma;;
2330-3/02;Fabricação de artefatos de cimento para uso na construção;Construção e Reforma;;
2330-3/03;Fabricação de artefatos de fibrocimento para uso na construção;Construção e Reforma;;
2330-3/04;Fabricação de casas pré-moldadas de concreto;Construção e Reforma;;
2330-3/05;Preparação de massa de concreto e argamassa para construção;Construção e Reforma;;
2330-3/99;Fabricação de outros artefatos e produtos de concreto, cimento, fibrocimento, gesso e materiais semelhantes;Construção e Reforma;;
2341-9/00;Fabricação de produtos cerâmicos refratários;Construção e Reforma;;
2342-7/01;Fabricação de azulejos e pisos;Construção e Reforma;;
2342-7/02;Fabricação de artefatos de cerâmica e barro cozido para uso na construção, exceto azulejos e pisos;Construção e Reforma;;
2349-4/01;Fabricação de material sanitário de cerâmica;Construção e Reforma;;
2349-4/99;Fabricação de produtos cerâmicos não refratários não especificados anteriormente;Construção e Reforma;;
2391-5/01;Britamento de pedras, exceto associado à extração;Construção e Reforma;;
2391-5/02;Aparelhamento de pedras para construção, exceto associado à extração;Construção e Reforma;;
2391-5/03;Aparelhamento de placas e execução de trabalhos em mármore, granito, ardósia e outras pedras;Construção e Reforma;;
2392-3/00;Fabricação de cal e gesso;Construção e Reforma;;
2399-1/01;Decoração, lapidação, gravação, vitrificação e outros trabalhos em cerâmica, louça, vidro e cristal;Construção e Reforma;;
2399-1/02;Fabricação de abrasivos;Construção e Reforma;;
2399-1/99;Fabricação de outros produtos de minerais não metálicos não especificados anteriormente;Construção e Reforma;;
2411-3/00;Produção de ferro-gusa;Indústria e Manufatura;;
2412-1/00;Produção de ferroligas;Indústria e Manufatura;;
2421-1/00;Produção de semiacabados de aço;Indústria e Manufatura;;
2422-9/01;Produção de laminados planos de aço ao carbono, revestidos ou não;Indústria e Manufatura;;
2422-9/02;Produção de laminados planos de aços especiais;Indústria e Manufatura;;
2423-7/01;Produção de tubos de aço sem costura;Indústria e Manufatura;;
2423-7/02;Produção de laminados longos de aço, exceto tubos;Indústria e Manufatura;;
2424-5/01;Produção de arames de aço;Indústria e Manufatura;;
2424-5/02;Produção de relaminados, trefilados e perfilados de aço, exceto arames;Indústria e Manufatura;;
2431-8/00;Produção de tubos de aço com costura;Indústria e Manufatura;;
2439-3/00;Produção de outros tubos de ferro e aço;Indústria e Manufatura;;
2441-5/01;Produção de alumínio e suas ligas em formas primárias;Indústria e Manufatura;;
2441-5/02;Produção de laminados de alumínio;Indústria e Manufatura;;
2442-3/00;Metalurgia dos metais preciosos;Indústria e Manufatura;;
2443-1/00;Metalurgia do cobre;Indústria e Manufatura;;
2449-1/01;Produção de zinco em formas primárias;Indústria e Manufatura;;
2449-1/02;Produção de laminados de zinco;Indústria e Manufatura;;
2449-1/03;Fabricação de ânodos para galvanoplastia;Indústria e Manufatura;;
2449-1/99;Metalurgia de outros metais não ferrosos e suas ligas não especificados anteriormente;Indústria e Manufatura;;
2451-2/00;Fundição de ferro e aço;Indústria e Manufatura;;
2452-1/00;Fundição de metais não ferrosos e suas ligas;Indústria e Manufatura;;
2511-0/00;Fabricação de estruturas metálicas;Indústria e Manufatura;;
2512-8/00;Fabricação de esquadrias de metal;Indústria e Manufatura;;
2513-6/00;Fabricação de obras de caldeiraria pesada;Indústria e Manufatura;;
2521-7/00;Fabricação de tanques, reservatórios metálicos e caldeiras para aquecimento central;Indústria e Manufatura;;
2522-5/00;Fabricação de caldeiras geradoras de vapor, exceto para aquecimento central e para veículos;Indústria e Manufatura;;
2531-4/01;Produção de forjados de aço;Indústria e Manufatura;;
2531-4/02;Produção de forjados de metais não ferrosos e suas ligas;Indústria e Manufatura;;
2532-2/01;Produção de artefatos estampados de metal;Indústria e Manufatura;;
2532-2/02;Metalurgia do pó;Indústria e Manufatura;;
2539-0/01;Serviços de usinagem, torneiria e solda;Indústria e Manufatura;;
2539-0/02;Serviços de tratamento e revestimento em metais;Indústria e Manufatura;;
2541-1/00;Fabricação de artigos de cutelaria;Indústria e Manufatura;;
2542-0/00;Fabricação de artigos de serralheria, exceto esquadrias;Indústria e Manufatura;;
2543-8/00;Fabricação de ferramentas;Indústria e Manufatura;;
2550-1/01;Fabricação de equipamento bélico pesado, exceto veículos militares de combate;Indústria e Manufatura;;
2550-1/02;Fabricação de armas de fogo, outras armas e munições;Indústria e Manufatura;;
2591-8/00;Fabricação de embalagens metálicas;Indústria e Manufatura;;
2592-6/01;Fabricação de produtos de trefilados de metal padronizados;Indústria e Manufatura;;
2592-6/02;Fabricação de produtos de trefilados de metal, exceto padronizados;Indústria e Manufatura;;
2593-4/00;Fabricação de artigos de metal para uso doméstico e pessoal;Indústria e Manufatura;;
2599-3/01;Serviços de confecção de armações metálicas para a construção;Indústria e Manufatura;;
2599-3/02;Serviço de corte e dobra de metais;Indústria e Manufatura;;
2599-3/99;Fabricação de outros produtos de metal não especificados anteriormente;Indústria e Manufatura;;
2610-8/00;Fabricação de componentes eletrônicos;Tecnologia e Software;;
2621-3/00;Fabricação de equipamentos de informática;Tecnologia e Software;;
2622-1/00;Fabricação de periféricos para equipamentos de informática;Tecnologia e Software;;
2631-1/00;Fabricação de equipamentos transmissores de comunicação, peças e acessórios;Tecnologia e Software;;
2632-9/00;Fabricação de aparelhos telefônicos e de outros equipamentos de comunicação, peças e acessórios;Tecnologia e Software;;
2640-0/00;Fabricação de aparelhos de recepção, reprodução, gravação e amplificação de áudio e vídeo;Móveis, Decoração e Casa;;
2651-5/00;Fabricação de aparelhos e equipamentos de medida, teste e controle;Arquitetura, Engenharia e P&D;;
2652-3/00;Fabricação de cronômetros e relógios;Arquitetura, Engenharia e P&D;;
2660-4/00;Fabricação de aparelhos eletromédicos e eletroterapêuticos e equipamentos de irradiação;Saúde e Farmacêutico;;
2670-1/01;Fabricação de equipamentos e instrumentos ópticos, peças e acessórios;Mídia, Comunicação e Entretenimento;;
2670-1/02;Fabricação de aparelhos fotográficos e cinematográficos, peças e acessórios;Mídia, Comunicação e Entretenimento;;
2680-9/00;Fabricação de mídias virgens, magnéticas e ópticas;Mídia, Comunicação e Entretenimento;;
2710-4/01;Fabricação de geradores de corrente contínua e alternada, peças e acessórios;Indústria e Manufatura;;
2710-4/02;Fabricação de transformadores, indutores, conversores, sincronizadores e semelhantes, peças e acessórios;Indústria e Manufatura;;
2710-4/03;Fabricação de motores elétricos, peças e acessórios;Indústria e Manufatura;;
2721-0/00;Fabricação de pilhas, baterias e acumuladores elétricos, exceto para veículos automotores;Indústria e Manufatura;;
2722-8/01;Fabricação de baterias e acumuladores para veículos automotores;Indústria e Manufatura;;
2722-8/02;Recondicionamento de baterias e acumuladores para veículos automotores;Indústria e Manufatura;;
2731-7/00;Fabricação de aparelhos e equipamentos para distribuição e controle de energia elétrica;Indústria e Manufatura;;
2732-5/00;Fabricação de material elétrico para instalações em circuito de consumo;Indústria e Manufatura;;
2733-3/00;Fabricação de fios, cabos e condutores elétricos isolados;Indústria e Manufatura;;
2740-6/01;Fabricação de lâmpadas;Indústria e Manufatura;;
2740-6/02;Fabricação de luminárias e outros equipamentos de iluminação;Indústria e Manufatura;;
2751-1/00;Fabricação de fogões, refrigeradores e máquinas de lavar e secar para uso doméstico, peças e acessórios;Indústria e Manufatura;;
2759-7/01;Fabricação de aparelhos elétricos de uso pessoal, peças e acessórios;Indústria e Manufatura;;
2759-7/99;Fabricação de outros aparelhos eletrodomésticos não especificados anteriormente, peças e acessórios;Indústria e Manufatura;;
2790-2/01;Fabricação de eletrodos, contatos e outros artigos de carvão e grafita para uso elétrico, eletroímãs e isoladores;Indústria e Manufatura;;
2790-2/02;Fabricação de equipamentos para sinalização e alarme;Indústria e Manufatura;;
2790-2/99;Fabricação de outros equipamentos e aparelhos elétricos não especificados anteriormente;Indústria e Manufatura;;
2811-9/00;Fabricação de motores e turbinas, peças e acessórios, exceto para aviões e veículos rodoviários;Indústria e Manufatura;;
2812-7/00;Fabricação de equipamentos hidráulicos e pneumáticos, peças e acessórios, exceto válvulas;Indústria e Manufatura;;
2813-5/00;Fabricação de válvulas, registros e dispositivos semelhantes, peças e acessórios;Indústria e Manufatura;;
2814-3/01;Fabricação de compressores para uso industrial, peças e acessórios;Indústria e Manufatura;;
2814-3/02;Fabricação de compressores para uso não industrial, peças e acessórios;Indústria e Manufatura;;
2815-1/01;Fabricação de rolamentos para fins industriais;Indústria e Manufatura;;
2815-1/02;Fabricação de equipamentos de transmissão para fins industriais, exceto rolamentos;Indústria e Manufatura;;
2821-6/01;Fabricação de fornos industriais, aparelhos e equipamentos não elétricos para instalações térmicas, peças e acessórios;Indústria e Manufatura;;
2821-6/02;Fabricação de estufas e fornos elétricos para fins industriais, peças e acessórios;Indústria e Manufatura;;
2822-4/01;Fabricação de máquinas, equipamentos e aparelhos para transporte e elevação de pessoas, peças e acessórios;Indústria e Manufatura;;
2822-4/02;Fabricação de máquinas, equipamentos e aparelhos para transporte e elevação de cargas, peças e acessórios;Indústria e Manufatura;;
2823-2/00;Fabricação de máquinas e aparelhos de refrigeração e ventilação para uso industrial e comercial, peças e acessórios;Indústria e Manufatura;;
2824-1/01;Fabricação de aparelhos e equipamentos de ar condicionado para uso industrial;Indústria e Manufatura;;
2824-1/02;Fabricação de aparelhos e equipamentos de ar condicionado para uso não industrial;Indústria e Manufatura;;
2825-9/00;Fabricação de máquinas e equipamentos para saneamento básico e ambiental, peças e acessórios;Indústria e Manufatura;;
2829-1/01;Fabricação de máquinas de escrever, calcular e outros equipamentos não eletrônicos para escritório, peças e acessórios;Indústria e Manufatura;;
2829-1/99;Fabricação de outras máquinas e equipamentos de uso geral não especificados anteriormente, peças e acessórios;Indústria e Manufatura;;
2831-3/00;Fabricação de tratores agrícolas, peças e acessórios;Indústria e Manufatura;;
2832-1/00;Fabricação de equipamentos para irrigação agrícola, peças e acessórios;Indústria e Manufatura;;
2833-0/00;Fabricação de máquinas e equipamentos para a agricultura e pecuária, peças e acessórios, exceto para irrigação;Indústria e Manufatura;;
2840-2/00;Fabricação de máquinas-ferramenta, peças e acessórios;Indústria e Manufatura;;
2851-8/00;Fabricação de máquinas e equipamentos para a prospecção e extração de petróleo, peças e acessórios;Indústria e Manufatura;;
2852-6/00;Fabricação de outras máquinas e equipamentos para uso na extração mineral, peças e acessórios, exceto na extração de petróleo;Indústria e Manufatura;;
2853-4/00;Fabricação de tratores, peças e acessórios, exceto agrícolas;Indústria e Manufatura;;
2854-2/00;Fabricação de máquinas e equipamentos para terraplenagem, pavimentação e construção, peças e acessórios, exceto tratores;Indústria e Manufatura;;
2861-5/00;Fabricação de máquinas para a indústria metalúrgica, peças e acessórios, exceto máquinas-ferramenta;Indústria e Manufatura;;
2862-3/00;Fabricação de máquinas e equipamentos para as indústrias de alimentos, bebidas e fumo, peças e acessórios;Indústria e Manufatura;;
2863-1/00;Fabricação de máquinas e equipamentos para a indústria têxtil, peças e acessórios;Indústria e Manufatura;;
2864-0/00;Fabricação de máquinas e equipamentos para as indústrias do vestuário, do couro e de calçados, peças e acessórios;Indústria e Manufatura;;
2865-8/00;Fabricação de máquinas e equipamentos para as indústrias de celulose, papel e papelão e artefatos, peças e acessórios;Indústria e Manufatura;;
2866-6/00;Fabricação de máquinas e equipamentos para a indústria do plástico, peças e acessórios;Indústria e Manufatura;;
2869-1/00;Fabricação de máquinas e equipamentos para uso industrial específico não especificados anteriormente, peças e acessórios;Indústria e Manufatura;;
2910-7/01;Fabricação de automóveis, camionetas e utilitários;Automotivo;;
2910-7/02;Fabricação de chassis com motor para automóveis, camionetas e utilitários;Automotivo;;
2910-7/03;Fabricação de motores para automóveis, camionetas e utilitários;Automotivo;;
2920-4/01;Fabricação de caminhões e ônibus;Automotivo;;
2920-4/02;Fabricação de motores para caminhões e ônibus;Automotivo;;
2930-1/01;Fabricação de cabines, carrocerias e reboques para caminhões;Automotivo;;
2930-1/02;Fabricação de carrocerias para ônibus;Automotivo;;
2930-1/03;Fabricação de cabines, carrocerias e reboques para outros veículos automotores, exceto caminhões e ônibus;Automotivo;;
2941-7/00;Fabricação de peças e acessórios para o sistema motor de veículos automotores;Automotivo;;
2942-5/00;Fabricação de peças e acessórios para os sistemas de marcha e transmissão de veículos automotores;Automotivo;;
2943-3/00;Fabricação de peças e acessórios para o sistema de freios de veículos automotores;Automotivo;;
2944-1/00;Fabricação de peças e acessórios para o sistema de direção e suspensão de veículos automotores;Automotivo;;
2945-0/00;Fabricação de material elétrico e eletrônico para veículos automotores, exceto baterias;Automotivo;;
2949-2/01;Fabricação de bancos e estofados para veículos automotores;Automotivo;;
2949-2/99;Fabricação de outras peças e acessórios para veículos automotores não especificadas anteriormente;Automotivo;;
2950-6/00;Recondicionamento e recuperação de motores para veículos automotores;Automotivo;;
3011-3/01;Construção de embarcações de grande porte;Transporte e Logística;;
3011-3/02;Construção de embarcações para uso comercial e para usos especiais, exceto de grande porte;Transporte e Logística;;
3012-1/00;Construção de embarcações para esporte e lazer;Transporte e Logística;;
3031-8/00;Fabricação de locomotivas, vagões e outros materiais rodantes;Transporte e Logística;;
3032-6/00;Fabricação de peças e acessórios para veículos ferroviários;Transporte e Logística;;
3041-5/00;Fabricação de aeronaves;Transporte e Logística;;
3042-3/00;Fabricação de turbinas, motores e outros componentes e peças para aeronaves;Transporte e Logística;;
3050-4/00;Fabricação de veículos militares de combate;Automotivo;;
3091-1/01;Fabricação de motocicletas;Automotivo;;
3091-1/02;Fabricação de peças e acessórios para motocicletas;Automotivo;;
3092-0/00;Fabricação de bicicletas e triciclos não motorizados, peças e acessórios;Automotivo;;
3099-7/00;Fabricação de equipamentos de transporte não especificados anteriormente;Automotivo;;
3101-2/00;Fabricação de móveis com predominância de madeira;Móveis, Decoração e Casa;;
3102-1/00;Fabricação de móveis com predominância de metal;Móveis, Decoração e Casa;;
3103-9/00;Fabricação de móveis de outros materiais, exceto madeira e metal;Móveis, Decoração e Casa;;
3104-7/00;Fabricação de colchões;Móveis, Decoração e Casa;;
3211-6/01;Lapidação de gemas;Moda, Têxtil e Calçados;;
3211-6/02;Fabricação de artefatos de joalheria e ourivesaria;Moda, Têxtil e Calçados;;
3211-6/03;Cunhagem de moedas e medalhas;Moda, Têxtil e Calçados;;
3212-4/00;Fabricação de bijuterias e artefatos semelhantes;Moda, Têxtil e Calçados;;
3220-5/00;Fabricação de instrumentos musicais, peças e acessórios;Cultura, Esporte e Lazer;;
3230-2/00;Fabricação de artefatos para pesca e esporte;Cultura, Esporte e Lazer;;
3240-0/01;Fabricação de jogos eletrônicos;Cultura, Esporte e Lazer;;
3240-0/02;Fabricação de mesas de bilhar, de sinuca e acessórios não associada à locação;Cultura, Esporte e Lazer;;
3240-0/03;Fabricação de mesas de bilhar, de sinuca e acessórios associada à locação;Cultura, Esporte e Lazer;;
3240-0/99;Fabricação de outros brinquedos e jogos recreativos não especificados anteriormente;Cultura, Esporte e Lazer;;
3250-7/01;Fabricação de instrumentos não eletrônicos e utensílios para uso médico, cirúrgico, odontológico e de laboratório;Saúde e Farmacêutico;;
3250-7/02;Fabricação de mobiliário para uso médico, cirúrgico, odontológico e de laboratório;Saúde e Farmacêutico;;
3250-7/03;Fabricação de aparelhos e utensílios para correção de defeitos físicos e aparelhos ortopédicos em geral sob encomenda;Saúde e Farmacêutico;;
3250-7/04;Fabricação de aparelhos e utensílios para correção de defeitos físicos e aparelhos ortopédicos em geral, exceto sob encomenda;Saúde e Farmacêutico;;
3250-7/05;Fabricação de materiais para medicina e odontologia;Saúde e Farmacêutico;;
3250-7/06;Serviços de prótese dentária;Saúde e Farmacêutico;;
3250-7/07;Fabricação de artigos ópticos;Saúde e Farmacêutico;;
3250-7/09;Serviço de laboratório óptico;Saúde e Farmacêutico;;
3291-4/00;Fabricação de escovas, pincéis e vassouras;Indústria e Manufatura;;
3292-2/01;Fabricação de roupas de proteção e segurança e resistentes a fogo;Indústria e Manufatura;;
3292-2/02;Fabricação de equipamentos e acessórios para segurança pessoal e profissional;Indústria e Manufatura;;
3299-0/01;Fabricação de guarda-chuvas e similares;Indústria e Manufatura;;
3299-0/02;Fabricação de canetas, lápis e outros artigos para escritório;Indústria e Manufatura;;
3299-0/03;Fabricação de letras, letreiros e placas de qualquer material, exceto luminosos;Indústria e Manufatura;;
3299-0/04;Fabricação de painéis e letreiros luminosos;Indústria e Manufatura;;
3299-0/05;Fabricação de aviamentos para costura;Indústria e Manufatura;;
3299-0/06;Fabricação de velas, inclusive decorativas;Indústria e Manufatura;;
3299-0/99;Fabricação de produtos diversos não especificados anteriormente;Indústria e Manufatura;;
3311-2/00;Manutenção e reparação de tanques, reservatórios metálicos e caldeiras, exceto para veículos;Indústria e Manufatura;;
3312-1/02;Manutenção e reparação de aparelhos e instrumentos de medida, teste e controle;Indústria e Manufatura;;
3312-1/03;Manutenção e reparação de aparelhos eletromédicos e eletroterapêuticos e equipamentos de irradiação;Indústria e Manufatura;;
3312-1/04;Manutenção e reparação de equipamentos e instrumentos ópticos;Indústria e Manufatura;;
3313-9/01;Manutenção e reparação de geradores, transformadores e motores elétricos;Indústria e Manufatura;;
3313-9/02;Manutenção e reparação de baterias e acumuladores elétricos, exceto para veículos;Indústria e Manufatura;;
3313-9/99;Manutenção e reparação de máquinas, aparelhos e materiais elétricos não especificados anteriormente;Indústria e Manufatura;;
3314-7/01;Manutenção e reparação de máquinas motrizes não elétricas;Indústria e Manufatura;;
3314-7/02;Manutenção e reparação de equipamentos hidráulicos e pneumáticos, exceto válvulas;Indústria e Manufatura;;
3314-7/03;Manutenção e reparação de válvulas industriais;Indústria e Manufatura;;
3314-7/04;Manutenção e reparação de compressores;Indústria e Manufatura;;
3314-7/05;Manutenção e reparação de equipamentos de transmissão para fins industriais;Indústria e Manufatura;;
3314-7/06;Manutenção e reparação de máquinas, aparelhos e equipamentos para instalações térmicas;Indústria e Manufatura;;
3314-7/07;Manutenção e reparação de máquinas e aparelhos de refrigeração e ventilação para uso industrial e comercial;Indústria e Manufatura;;
3314-7/08;Manutenção e reparação de máquinas, equipamentos e aparelhos para transporte e elevação de cargas;Indústria e Manufatura;;
3314-7/09;Manutenção e reparação de máquinas de escrever, calcular e de outros equipamentos não eletrônicos para escritório;Indústria e Manufatura;;
3314-7/10;Manutenção e reparação de máquinas e equipamentos para uso geral não especificados anteriormente;Indústria e Manufatura;;
3314-7/11;Manutenção e reparação de máquinas e equipamentos para agricultura e pecuária;Indústria e Manufatura;;
3314-7/12;Manutenção e reparação de tratores agrícolas;Indústria e Manufatura;;
3314-7/13;Manutenção e reparação de máquinas-ferramenta;Indústria e Manufatura;;
3314-7/14;Manutenção e reparação de máquinas e equipamentos para a prospecção e extração de petróleo;Indústria e Manufatura;;
3314-7/15;Manutenção e reparação de máquinas e equipamentos para uso na extração mineral, exceto na extração de petróleo;Indústria e Manufatura;;
3314-7/16;Manutenção e reparação de tratores, exceto agrícolas;Indústria e Manufatura;;
3314-7/17;Manutenção e reparação de máquinas e equipamentos de terraplenagem, pavimentação e construção, exceto tratores;Indústria e Manufatura;;
3314-7/18;Manutenção e reparação de máquinas para a indústria metalúrgica, exceto máquinas-ferramenta;Indústria e Manufatura;;
3314-7/19;Manutenção e reparação de máquinas e equipamentos para as indústrias de alimentos, bebidas e fumo;Indústria e Manufatura;;
3314-7/20;Manutenção e reparação de máquinas e equipamentos para a indústria têxtil, do vestuário, do couro e calçados;Indústria e Manufatura;;
3314-7/21;Manutenção e reparação de máquinas e aparelhos para a indústria de celulose, papel e papelão e artefatos;Indústria e Manufatura;;
3314-7/22;Manutenção e reparação de máquinas e aparelhos para a indústria do plástico;Indústria e Manufatura;;
3314-7/99;Manutenção e reparação de outras máquinas e equipamentos para usos industriais não especificados anteriormente;Indústria e Manufatura;;
3315-5/00;Manutenção e reparação de veículos ferroviários;Indústria e Manufatura;;
3316-3/01;Manutenção e reparação de aeronaves, exceto a manutenção na pista;Indústria e Manufatura;;
3316-3/02;Manutenção de aeronaves na pista;Indústria e Manufatura;;
3317-1/01;Manutenção e reparação de embarcações e estruturas flutuantes;Indústria e Manufatura;;
3317-1/02;Manutenção e reparação de embarcações para esporte e lazer;Indústria e Manufatura;;
3319-8/00;Manutenção e reparação de equipamentos e produtos não especificados anteriormente;Indústria e Manufatura;;
3321-0/00;Instalação de máquinas e equipamentos industriais;Indústria e Manufatura;;
3329-5/01;Serviços de montagem de móveis de qualquer material;Indústria e Manufatura;;
3329-5/99;Instalação de outros equipamentos não especificados anteriormente;Indústria e Manufatura;;
3511-5/01;Geração de energia elétrica;Energia, Utilities e Saneamento;;
3511-5/02;Atividades de coordenação e controle da operação da geração e transmissão de energia elétrica;Energia, Utilities e Saneamento;;
3512-3/00;Transmissão de energia elétrica;Energia, Utilities e Saneamento;;
3513-1/00;Comércio atacadista de energia elétrica;Energia, Utilities e Saneamento;;
3514-0/00;Distribuição de energia elétrica;Energia, Utilities e Saneamento;;
3520-4/01;"Produção de gás; processamento de gás natural";Energia, Utilities e Saneamento;;
3520-4/02;Distribuição de combustíveis gasosos por redes urbanas;Energia, Utilities e Saneamento;;
3530-1/00;Produção e distribuição de vapor, água quente e ar condicionado;Energia, Utilities e Saneamento;;
3600-6/01;Captação, tratamento e distribuição de água;Energia, Utilities e Saneamento;;
3600-6/02;Distribuição de água por caminhões;Energia, Utilities e Saneamento;;
3701-1/00;Gestão de redes de esgoto;Energia, Utilities e Saneamento;;
3702-9/00;Atividades relacionadas a esgoto, exceto a gestão de redes;Energia, Utilities e Saneamento;;
3811-4/00;Coleta de resíduos não perigosos;Energia, Utilities e Saneamento;;
3812-2/00;Coleta de resíduos perigosos;Energia, Utilities e Saneamento;;
3821-1/00;Tratamento e disposição de resíduos não perigosos;Energia, Utilities e Saneamento;;
3822-0/00;Tratamento e disposição de resíduos perigosos;Energia, Utilities e Saneamento;;
3831-9/01;Recuperação de sucatas de alumínio;Energia, Utilities e Saneamento;;
3831-9/99;Recuperação de materiais metálicos, exceto alumínio;Energia, Utilities e Saneamento;;
3832-7/00;Recuperação de materiais plásticos;Energia, Utilities e Saneamento;;
3839-4/01;Usinas de compostagem;Energia, Utilities e Saneamento;;
3839-4/99;Recuperação de materiais não especificados anteriormente;Energia, Utilities e Saneamento;;
3900-5/00;Descontaminação e outros serviços de gestão de resíduos;Energia, Utilities e Saneamento;;
4110-7/00;Incorporação de empreendimentos imobiliários;Construção e Reforma;;
4120-4/00;Construção de edifícios;Construção e Reforma;;
4211-1/01;Construção de rodovias e ferrovias;Construção e Reforma;;
4211-1/02;Pintura para sinalização em pistas rodoviárias e aeroportos;Construção e Reforma;;
4212-0/00;Construção de obras de arte especiais;Construção e Reforma;;
4213-8/00;Obras de urbanização - ruas, praças e calçadas;Construção e Reforma;;
4221-9/01;"Construção de barragens e represas para geração de energia 
elétrica";Construção e Reforma;;
4221-9/02;Construção de estações e redes de distribuição de energia elétrica;Construção e Reforma;;
4221-9/03;Manutenção de redes de distribuição de energia elétrica;Construção e Reforma;;
4221-9/04;Construção de estações e redes de telecomunicações;Construção e Reforma;;
4221-9/05;Manutenção de estações e redes de telecomunicações;Construção e Reforma;;
4222-7/01;Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas, exceto obras de irrigação;Construção e Reforma;;
4222-7/02;Obras de irrigação;Construção e Reforma;;
4223-5/00;Construção de redes de transportes por dutos, exceto para água e esgoto;Construção e Reforma;;
4291-0/00;Obras portuárias, marítimas e fluviais;Construção e Reforma;;
4292-8/01;Montagem de estruturas metálicas;Construção e Reforma;;
4292-8/02;Obras de montagem industrial;Construção e Reforma;;
4299-5/01;Construção de instalações esportivas e recreativas;Construção e Reforma;;
4299-5/99;Outras obras de engenharia civil não especificadas anteriormente;Construção e Reforma;;
4311-8/01;Demolição de edifícios e outras estruturas;Construção e Reforma;;
4311-8/02;Preparação de canteiro e limpeza de terreno;Construção e Reforma;;
4312-6/00;Perfurações e sondagens;Construção e Reforma;;
4313-4/00;Obras de terraplenagem;Construção e Reforma;;
4319-3/00;Serviços de preparação do terreno não especificados anteriormente;Construção e Reforma;;
4321-5/00;Instalação e manutenção elétrica;Construção e Reforma;;
4322-3/01;Instalações hidráulicas, sanitárias e de gás;Construção e Reforma;;
4322-3/02;Instalação e manutenção de sistemas centrais de ar condicionado, de ventilação e refrigeração;Construção e Reforma;;
4322-3/03;Instalações de sistema de prevenção contra incêndio;Construção e Reforma;;
4329-1/01;Instalação de painéis publicitários;Construção e Reforma;;
4329-1/02;Instalação de equipamentos para orientação à navegação marítima, fluvial e lacustre;Construção e Reforma;;
4329-1/03;Instalação, manutenção e reparação de elevadores, escadas e esteiras rolantes;Construção e Reforma;;
4329-1/04;Montagem e instalação de sistemas e equipamentos de iluminação e sinalização em vias públicas, portos e aeroportos;Construção e Reforma;;
4329-1/05;Tratamentos térmicos, acústicos ou de vibração;Construção e Reforma;;
4329-1/99;Outras obras de instalações em construções não especificadas anteriormente;Construção e Reforma;;
4330-4/01;Impermeabilização em obras de engenharia civil;Construção e Reforma;;
4330-4/02;Instalação de portas, janelas, tetos, divisórias e armários embutidos de qualquer material;Construção e Reforma;;
4330-4/03;Obras de acabamento em gesso e estuque;Construção e Reforma;;
4330-4/04;Serviços de pintura de edifícios em geral;Construção e Reforma;;
4330-4/05;Aplicação de revestimentos e de resinas em interiores e exteriores;Construção e Reforma;;
4330-4/99;Outras obras de acabamento da construção;Construção e Reforma;;
4391-6/00;Obras de fundações;Construção e Reforma;;
4399-1/01;Administração de obras;Construção e Reforma;;
4399-1/02;Montagem e desmontagem de andaimes e outras estruturas temporárias;Construção e Reforma;;
4399-1/03;Obras de alvenaria;Construção e Reforma;;
4399-1/04;Serviços de operação e fornecimento de equipamentos para transporte e elevação de cargas e pessoas para uso em obras;Construção e Reforma;;
4399-1/05;Perfuração e construção de poços de água;Construção e Reforma;;
4399-1/99;Serviços especializados para construção não especificados anteriormente;Construção e Reforma;;
4511-1/01;Comércio a varejo de automóveis, camionetas e utilitários novos;Automotivo;;
4511-1/02;Comércio a varejo de automóveis, camionetas e utilitários usados;Automotivo;;
4511-1/03;Comércio por atacado de automóveis, camionetas e utilitários novos e usados;Automotivo;;
4511-1/04;Comércio por atacado de caminhões novos e usados;Automotivo;;
4511-1/05;Comércio por atacado de reboques e semireboques novos e usados;Automotivo;;
4511-1/06;Comércio por atacado de ônibus e micro-ônibus novos e usados;Automotivo;;
4512-9/01;Representantes comerciais e agentes do comércio de veículos automotores;Automotivo;;
4512-9/02;Comércio sob consignação de veículos automotores;Automotivo;;
4520-0/01;Serviços de manutenção e reparação mecânica de veículos automotores;Automotivo;;
4520-0/02;Serviços de lanternagem ou funilaria e pintura de veículos automotores;Automotivo;;
4520-0/03;Serviços de manutenção e reparação elétrica de veículos automotores;Automotivo;;
4520-0/04;Serviços de alinhamento e balanceamento de veículos automotores;Automotivo;;
4520-0/05;Serviços de lavagem, lubrificação e polimento de veículos automotores;Automotivo;;
4520-0/06;Serviços de borracharia para veículos automotores;Automotivo;;
4520-0/07;Serviços de instalação, manutenção e reparação de acessórios para veículos automotores;Automotivo;;
4520-0/08;Serviços de capotaria;Automotivo;;
4530-7/01;Comércio por atacado de peças e acessórios novos para veículos automotores;Automotivo;;
4530-7/02;Comércio por atacado de pneumáticos e câmaras-de-ar;Automotivo;;
