Mapeamento Completo — 1.331 subclasses CNAE 2.3;;;;
;;;;
Subclasse CNAE;Descrição Oficial;Vertical;;
0311-6/02;Pesca de crustáceos e moluscos em água salgada;Agronegócio;;
0311-6/03;Coleta de outros produtos marinhos;Agronegócio;;
0311-6/04;Atividades de apoio à pesca em água salgada;Agronegócio;;
0312-4/01;Pesca de peixes em água doce;Agronegócio;;
0312-4/02;Pesca de crustáceos e moluscos em água doce;Agronegócio;;
0312-4/03;Coleta de outros produtos aquáticos de água doce;Agronegócio;;
0312-4/04;Atividades de apoio à pesca em água doce;Agronegócio;;
0321-3/01;Criação de peixes em água salgada e salobra;Agronegócio;;
0321-3/02;Criação de camarões em água salgada e salobra;Agronegócio;;
0321-3/03;Criação de ostras e mexilhões em água salgada e salobra;Agronegócio;;
0321-3/04;Criação de peixes ornamentais em água salgada e salobra;Agronegócio;;
0321-3/05;Atividades de apoio à aquicultura em água salgada e salobra;Agronegócio;;
0321-3/99;Cultivos e semicultivos da aquicultura em água salgada e salobra não especificados anteriormente;Agronegócio;;
0322-1/01;Criação de peixes em água doce;Agronegócio;;
0322-1/02;Criação de camarões em água doce;Agronegócio;;
0322-1/03;Criação de ostras e mexilhões em água doce;Agronegócio;;
0322-1/04;Criação de peixes ornamentais em água doce;Agronegócio;;
0322-1/05;Ranicultura;Agronegócio;;
0322-1/06;Criação de jacaré;Agronegócio;;
0322-1/07;Atividades de apoio à aquicultura em água doce;Agronegócio;;
0322-1/99;Cultivos e semicultivos da aquicultura em água doce não especificados anteriormente;Agronegócio;;
0500-3/01;Extração de carvão mineral;Mineração e Extração;;
0500-3/02;Beneficiamento de carvão mineral;Mineração e Extração;;
0600-0/01;Extração de petróleo e gás natural;Mineração e Extração;;
0600-0/02;Extração e beneficiamento de xisto;Mineração e Extração;;
0600-0/03;Extração e beneficiamento de areias betuminosas;Mineração e Extração;;
0710-3/01;Extração de minério de ferro;Mineração e Extração;;
0710-3/02;Pelotização, sinterização e outros beneficiamentos de minério de ferro;Mineração e Extração;;
0721-9/01;Extração de minério de alumínio;Mineração e Extração;;
0721-9/02;Beneficiamento de minério de alumínio;Mineração e Extração;;
0722-7/01;Extração de minério de estanho;Mineração e Extração;;
0722-7/02;Beneficiamento de minério de estanho;Mineração e Extração;;
0723-5/01;Extração de minério de manganês;Mineração e Extração;;
0723-5/02;Beneficiamento de minério de manganês;Mineração e Extração;;
0724-3/01;Extração de minério de metais preciosos;Mineração e Extração;;
0724-3/02;Beneficiamento de minério de metais preciosos;Mineração e Extração;;
0725-1/00;Extração de minerais radioativos;Mineração e Extração;;
0729-4/01;Extração de minérios de nióbio e titânio;Mineração e Extração;;
0729-4/02;Extração de minério de tungstênio;Mineração e Extração;;
0729-4/03;Extração de minério de níquel;Mineração e Extração;;
0729-4/04;Extração de minérios de cobre, chumbo, zinco e outros minerais metálicos não ferrosos não especificados anteriormente;Mineração e Extração;;
0729-4/05;Beneficiamento de minérios de cobre, chumbo, zinco e outros minerais metálicos não ferrosos não especificados anteriormente;Mineração e Extração;;
0810-0/01;Extração de ardósia e beneficiamento associado;Mineração e Extração;;
0810-0/02;Extração de granito e beneficiamento associado;Mineração e Extração;;
0810-0/03;Extração de mármore e beneficiamento associado;Mineração e Extração;;
0810-0/04;Extração de calcário e dolomita e beneficiamento associado;Mineração e Extração;;
0810-0/05;Extração de gesso e caulim;Mineração e Extração;;
0810-0/06;Extração de areia, cascalho ou pedregulho e beneficiamento associado;Mineração e Extração;;
0810-0/07;Extração de argila e beneficiamento associado;Mineração e Extração;;
0810-0/08;Extração de saibro e beneficiamento associado;Mineração e Extração;;
0810-0/09;Extração de basalto e beneficiamento associado;Mineração e Extração;;
0810-0/10;Beneficiamento de gesso e caulim associado à extração;Mineração e Extração;;
0810-0/99;Extração e britamento de pedras e outros materiais para construção e beneficiamento associado;Mineração e Extração;;
0891-6/00;Extração de minerais para fabricação de adubos, fertilizantes e outros produtos químicos;Mineração e Extração;;
0892-4/01;Extração de sal marinho;Mineração e Extração;;
0892-4/02;Extração de sal-gema;Mineração e Extração;;
